student_id,grade,subject,score,study_hours_per_day,attendance_percentage,passed,grade_letter
STU0001,Grade_9,Math,60.3,2.3,85.9,True,C
STU0001,Grade_9,Science,59.9,2.3,85.9,True,C
STU0001,Grade_9,English,56.4,2.3,85.9,True,C
STU0001,Grade_9,History,62.5,2.3,85.9,True,C
STU0001,Grade_9,Computer_Science,55.4,2.3,85.9,True,C
STU0002,Grade_10,Math,77.3,5.1,75.6,True,B
STU0002,Grade_10,Science,79.3,5.1,75.6,True,B
STU0002,Grade_10,English,83.7,5.1,75.6,True,A
STU0002,Grade_10,History,85.3,5.1,75.6,True,A
STU0002,Grade_10,Computer_Science,76.2,5.1,75.6,True,B
STU0003,Grade_12,Math,69.6,5.8,74.8,True,B
STU0003,Grade_12,Science,85.6,5.8,74.8,True,A
STU0003,Grade_12,English,94.8,5.8,74.8,True,A
STU0003,Grade_12,History,86.6,5.8,74.8,True,A
STU0003,Grade_12,Computer_Science,86.7,5.8,74.8,True,A
STU0004,Grade_12,Math,54.1,1.3,98.1,True,C
STU0004,Grade_12,Science,57.1,1.3,98.1,True,C
STU0004,Grade_12,English,63.8,1.3,98.1,True,C
STU0004,Grade_12,History,73.1,1.3,98.1,True,B
STU0004,Grade_12,Computer_Science,63.1,1.3,98.1,True,C
STU0005,Grade_12,Math,48.5,1.2,78.7,True,D
STU0005,Grade_12,Science,54.9,1.2,78.7,True,C
STU0005,Grade_12,English,49.6,1.2,78.7,True,D
STU0005,Grade_12,History,64.6,1.2,78.7,True,C
STU0005,Grade_12,Computer_Science,47.6,1.2,78.7,True,D
STU0006,Grade_12,Math,74.7,5.6,66.7,True,B
STU0006,Grade_12,Science,71.8,5.6,66.7,True,B
STU0006,Grade_12,English,80.5,5.6,66.7,True,A
STU0006,Grade_12,History,95.3,5.6,66.7,True,A
STU0006,Grade_12,Computer_Science,89.9,5.6,66.7,True,A
STU0007,Grade_12,Math,78.5,3.5,99.7,True,B
STU0007,Grade_12,Science,68.9,3.5,99.7,True,B
STU0007,Grade_12,English,82.4,3.5,99.7,True,A
STU0007,Grade_12,History,88.0,3.5,99.7,True,A
STU0007,Grade_12,Computer_Science,73.6,3.5,99.7,True,B
STU0008,Grade_10,Math,65.7,5.5,72.0,True,B
STU0008,Grade_10,Science,68.7,5.5,72.0,True,B
STU0008,Grade_10,English,80.5,5.5,72.0,True,A
STU0008,Grade_10,History,,5.5,72.0,True,A
STU0008,Grade_10,Computer_Science,75.6,5.5,72.0,True,B
STU0009,Grade_10,Math,74.2,7.1,91.8,True,B
STU0009,Grade_10,Science,77.3,7.1,91.8,True,B
STU0009,Grade_10,English,94.7,7.1,91.8,True,A
STU0009,Grade_10,History,93.5,7.1,91.8,True,A
STU0009,Grade_10,Computer_Science,85.5,7.1,91.8,True,A
STU0010,Grade_9,Math,72.4,3.0,90.3,True,B
STU0010,Grade_9,Science,70.9,3.0,90.3,True,B
STU0010,Grade_9,English,72.4,3.0,90.3,True,B
STU0010,Grade_9,History,75.1,3.0,90.3,True,B
STU0010,Grade_9,Computer_Science,65.7,3.0,90.3,True,B
STU0011,Grade_12,Math,57.5,3.9,85.6,True,C
STU0011,Grade_12,Science,65.8,3.9,85.6,True,B
STU0011,Grade_12,English,65.8,3.9,85.6,True,B
STU0011,Grade_12,History,82.5,3.9,85.6,True,A
STU0011,Grade_12,Computer_Science,69.3,3.9,85.6,True,B
STU0012,Grade_10,Math,90.1,7.2,97.5,True,A
STU0012,Grade_10,Science,100.0,7.2,97.5,True,A
STU0012,Grade_10,English,100.0,7.2,97.5,True,A
STU0012,Grade_10,History,100.0,7.2,97.5,True,A
STU0012,Grade_10,Computer_Science,100.0,7.2,97.5,True,A
STU0013,Grade_11,Math,90.9,7.9,86.0,True,A
STU0013,Grade_11,Science,97.0,7.9,86.0,True,A
STU0013,Grade_11,English,100.0,7.9,86.0,True,A
STU0013,Grade_11,History,100.0,7.9,86.0,True,A
STU0013,Grade_11,Computer_Science,100.0,7.9,86.0,True,A
STU0014,Grade_12,Math,67.8,3.4,91.8,True,B
STU0014,Grade_12,Science,68.5,3.4,91.8,True,B
STU0014,Grade_12,English,69.9,3.4,91.8,True,B
STU0014,Grade_12,History,70.4,3.4,91.8,True,B
STU0014,Grade_12,Computer_Science,61.7,3.4,91.8,True,C
STU0015,Grade_12,Math,70.5,6.5,73.9,True,B
STU0015,Grade_12,Science,75.7,6.5,73.9,True,B
STU0015,Grade_12,English,83.6,6.5,73.9,True,A
STU0015,Grade_12,History,88.1,6.5,73.9,True,A
STU0015,Grade_12,Computer_Science,82.1,6.5,73.9,True,A
STU0016,Grade_9,Math,77.1,5.4,99.2,True,B
STU0016,Grade_9,Science,82.7,5.4,99.2,True,A
STU0016,Grade_9,English,90.5,5.4,99.2,True,A
STU0016,Grade_9,History,100.0,5.4,99.2,True,A
STU0016,Grade_9,Computer_Science,93.1,5.4,99.2,True,A
STU0017,Grade_10,Math,90.6,7.3,82.9,True,A
STU0017,Grade_10,Science,94.1,7.3,82.9,True,A
STU0017,Grade_10,English,93.2,7.3,82.9,True,A
STU0017,Grade_10,History,100.0,7.3,82.9,True,A
STU0017,Grade_10,Computer_Science,85.8,7.3,82.9,True,A
STU0018,Grade_12,Math,64.7,2.0,89.0,True,C
STU0018,Grade_12,Science,63.3,2.0,89.0,True,C
STU0018,Grade_12,English,74.4,2.0,89.0,True,B
STU0018,Grade_12,History,74.3,2.0,89.0,True,B
STU0018,Grade_12,Computer_Science,69.3,2.0,89.0,True,B
STU0019,Grade_10,Math,73.1,1.8,95.4,True,B
STU0019,Grade_10,Science,74.6,1.8,95.4,True,B
STU0019,Grade_10,English,73.9,1.8,95.4,True,B
STU0019,Grade_10,History,92.8,1.8,95.4,True,A
STU0019,Grade_10,Computer_Science,70.9,1.8,95.4,True,B
STU0020,Grade_12,Math,75.0,4.8,74.5,True,B
STU0020,Grade_12,Science,74.7,4.8,74.5,True,B
STU0020,Grade_12,English,96.2,4.8,74.5,True,A
STU0020,Grade_12,History,92.3,4.8,74.5,True,A
STU0020,Grade_12,Computer_Science,88.0,4.8,74.5,True,A
STU0021,Grade_9,Math,64.9,2.0,92.6,True,C
STU0021,Grade_9,Science,70.7,2.0,92.6,True,B
STU0021,Grade_9,English,69.9,2.0,92.6,True,B
STU0021,Grade_9,History,73.6,2.0,92.6,True,B
STU0021,Grade_9,Computer_Science,70.8,2.0,92.6,True,B
STU0022,Grade_12,Math,52.5,2.7,70.7,True,C
STU0022,Grade_12,Science,57.2,2.7,70.7,True,C
STU0022,Grade_12,English,65.7,2.7,70.7,True,B
STU0022,Grade_12,History,81.4,2.7,70.7,True,A
STU0022,Grade_12,Computer_Science,61.4,2.7,70.7,True,C
STU0023,Grade_9,Math,75.0,6.0,92.5,True,B
STU0023,Grade_9,Science,79.6,6.0,92.5,True,B
STU0023,Grade_9,English,84.4,6.0,92.5,True,A
STU0023,Grade_9,History,100.0,6.0,92.5,True,A
STU0023,Grade_9,Computer_Science,93.1,6.0,92.5,True,A
STU0024,Grade_9,Math,82.9,4.5,95.4,True,A
STU0024,Grade_9,Science,74.3,4.5,95.4,True,B
STU0024,Grade_9,English,89.7,4.5,95.4,True,A
STU0024,Grade_9,History,91.9,4.5,95.4,True,A
STU0024,Grade_9,Computer_Science,85.5,4.5,95.4,True,A
STU0025,Grade_10,Math,76.1,8.0,78.8,True,B
STU0025,Grade_10,Science,87.4,8.0,78.8,True,A
STU0025,Grade_10,English,92.8,8.0,78.8,True,A
STU0025,Grade_10,History,97.8,8.0,78.8,True,A
STU0025,Grade_10,Computer_Science,95.0,8.0,78.8,True,A
STU0026,Grade_11,Math,65.9,3.7,64.9,True,B
STU0026,Grade_11,Science,66.5,3.7,64.9,True,B
STU0026,Grade_11,English,68.3,3.7,64.9,True,B
STU0026,Grade_11,History,75.9,3.7,64.9,True,B
STU0026,Grade_11,Computer_Science,61.9,3.7,64.9,True,C
STU0027,Grade_12,Math,77.6,5.9,94.5,True,B
STU0027,Grade_12,Science,88.4,5.9,94.5,True,A
STU0027,Grade_12,English,95.6,5.9,94.5,True,A
STU0027,Grade_12,History,95.1,5.9,94.5,True,A
STU0027,Grade_12,Computer_Science,89.9,5.9,94.5,True,A
STU0028,Grade_12,Math,68.0,1.3,99.4,True,B
STU0028,Grade_12,Science,66.4,1.3,99.4,True,B
STU0028,Grade_12,English,66.3,1.3,99.4,True,B
STU0028,Grade_12,History,77.4,1.3,99.4,True,B
STU0028,Grade_12,Computer_Science,65.9,1.3,99.4,True,B
STU0029,Grade_10,Math,65.9,4.7,63.3,True,B
STU0029,Grade_10,Science,67.7,4.7,63.3,True,B
STU0029,Grade_10,English,76.5,4.7,63.3,True,B
STU0029,Grade_10,History,76.7,4.7,63.3,True,B
STU0029,Grade_10,Computer_Science,73.9,4.7,63.3,True,B
STU0030,Grade_12,Math,79.8,7.0,73.8,True,B
STU0030,Grade_12,Science,86.5,7.0,73.8,True,A
STU0030,Grade_12,English,93.1,7.0,73.8,True,A
STU0030,Grade_12,History,100.0,7.0,73.8,True,A
STU0030,Grade_12,Computer_Science,83.5,7.0,73.8,True,A
STU0031,Grade_12,Math,,5.5,96.5,True,B
STU0031,Grade_12,Science,82.6,5.5,96.5,True,A
STU0031,Grade_12,English,90.1,5.5,96.5,True,A
STU0031,Grade_12,History,91.0,5.5,96.5,True,A
STU0031,Grade_12,Computer_Science,81.4,5.5,96.5,True,A
STU0032,Grade_12,Math,71.7,4.9,77.0,True,B
STU0032,Grade_12,Science,74.0,4.9,77.0,True,B
STU0032,Grade_12,English,72.2,4.9,77.0,True,B
STU0032,Grade_12,History,81.1,4.9,77.0,True,A
STU0032,Grade_12,Computer_Science,77.1,4.9,77.0,True,B
STU0033,Grade_10,Math,83.4,5.3,89.5,True,A
STU0033,Grade_10,Science,85.0,5.3,89.5,True,A
STU0033,Grade_10,English,98.2,5.3,89.5,True,A
STU0033,Grade_10,History,100.0,5.3,89.5,True,A
STU0033,Grade_10,Computer_Science,84.8,5.3,89.5,True,A
STU0034,Grade_12,Math,73.9,7.0,98.9,True,B
STU0034,Grade_12,Science,83.7,7.0,98.9,True,A
STU0034,Grade_12,English,90.5,7.0,98.9,True,A
STU0034,Grade_12,History,93.9,7.0,98.9,True,A
STU0034,Grade_12,Computer_Science,81.0,7.0,98.9,True,A
STU0035,Grade_11,Math,79.0,3.6,95.7,True,B
STU0035,Grade_11,Science,77.7,3.6,95.7,True,B
STU0035,Grade_11,English,87.5,3.6,95.7,True,A
STU0035,Grade_11,History,96.5,3.6,95.7,True,A
STU0035,Grade_11,Computer_Science,79.0,3.6,95.7,True,B
STU0036,Grade_12,Math,79.8,6.6,82.1,True,B
STU0036,Grade_12,Science,84.2,6.6,82.1,True,A
